isbn,title,authors,genre,publication_year,description,cover_image_url,keywords
9788954655217,돌 씹어 먹는 아이,원작｜각색: 송미경,문학 > 한국문학 > 희곡,2019,"어린이를 독자 대상으로 하는 희곡집이다. 원작의 의미는 충실하게, 인물과 줄거리는 짜임새 있게 재구성하였고, 연극 대본의 특징을 살리기 위해 극적인 요소를 곳곳에 넣어 마치 한 편의 연극이 눈앞에서 공연되는 듯한 재미를 더했다.",https://image.aladin.co.kr/product/18582/51/cover/8954655211_1.jpg,"{""돌 씹어 먹는 아이"": ""12"", ""희곡"": ""8"", ""연극"": ""6"", ""각색"": ""4"", ""교과서"": ""4"", ""아이"": ""4"", ""나의 진주 드레스"": ""3"", ""어떤 아이가"": ""3"", ""우리 집에 놀러 오세요"": ""3"", ""단원"": ""3"", ""중독의 농도"": ""3"", ""콤플렉스의 밀도"": ""3"", ""공저"": ""3"", ""봄날의 곰"": ""3"", ""나를 데리러 온 고양이 부부"": ""3"", ""수업"": ""3"", ""불안의 주파수"": ""3"", ""혀를 사 왔지"": ""3"", ""요소"": ""3"", ""가정 통신문 소동"": ""3"", ""햄릿과 나"": ""3"", ""통조림 학원"": ""3"", ""동화"": ""3"", ""복수의 여신"": ""3"", ""광인 수술 보고서"": ""3"", ""소양"": ""2"", ""어린이"": ""2"", ""독서"": ""2"", ""원작"": ""2"", ""인문학적"": ""2"", ""편의"": ""2"", ""즐거움"": ""2"", ""대본"": ""2"", ""재미"": ""2"", ""부부"": ""2"", ""문학동네"": ""2"", ""송미경"": ""2"", ""활동"": ""2"", ""개정"": ""2"", ""고양이"": ""2"", ""희곡집"": ""2"", ""2008년"": ""2"", ""교육"": ""2"", ""목표"": ""2"", ""간직"": ""1"", ""각종"": ""1"", ""3학년"": ""1"", ""교과"": ""1"", ""구성"": ""1"", ""국어"": ""1""}"
9788939522909,(논리력과 상상력을 키우는) 철학판타지 :그리스 철학편,글쓴이: 좌백 ;그린이: 강주연,철학 > 서양철학 > 서양철학,,"한국철학사상연구회 추천 도서. 생각하는 습관부터 논리력, 창의력 등 다양한 사고력까지 키워 주는 어린이 철학만화책이다. 재미있는 퀴즈 형식의 논리학과 위대한 철학자들의 다양한 철학 이야기를 담아냈다. 논리적으로 사고하는 습관뿐만 아니라 상상력, 창의력, 문제해결력을 기를 수 있다.",http://image.aladin.co.kr/product/317/53/cover/8939522907_1.jpg,"{""학습만화"": ""4"", ""강주연"": ""2"", ""위대"": ""2"", ""습관"": ""2"", ""소크라테스"": ""2"", ""좌백"": ""2"", ""창의력"": ""2"", ""대교출판"": ""2"", ""다양"": ""2"", ""그린이"": ""2"", ""철학자"": ""2"", ""철학만화책"": ""1"", ""한국철학사상연구회"": ""1"", ""자신"": ""1"", ""재판"": ""1"", ""퀴즈"": ""1"", ""재판정"": ""1"", ""진리"": ""1"", ""질문"": ""1"", ""철학"": ""1"", ""오해"": ""1"", ""어린이"": ""1"", ""궤변론자"": ""1"", ""논리력"": ""1"", ""논리적"": ""1"", ""논리학"": ""1"", ""목숨"": ""1"", ""문제해결력"": ""1"", ""사고"": ""1"", ""사고력"": ""1"", ""사람"": ""1"", ""상상력"": ""1"", ""생각"": ""1"", ""수행"": ""1"", ""시작"": ""1"", ""신탁"": ""1"", ""형식"": ""1""}"
9780152064877,Hickory Dickory Dock (Paperback) - My Little Library Pre-Step 09,"케이트 베이커 (지은이), Elizabeth Wolf (그림)",,2005,"이 작품은 우리에게 잘 알려진 마더구스 라임 중 하나인 “Hickory, dickory, dock&quot;을 바탕으로, 주인공 생쥐와 시간이 바뀔 때마다 나타나는 동물들의 모습을 재미있게 재구성한 그림책이다. 짤막하고 리드미컬하게 반복되는 라임은 two-flew, five-hive 등과 같이 끝소리가 같은 단어들로 운율을 맞추었기...",http://image.aladin.co.kr/product/1350/52/cover/0152064877_1.jpg,"{""Library"": ""3"", ""동물"": ""3"", ""My"": ""3"", ""Little"": ""3"", ""시리즈"": ""3"", ""영어"": ""3"", ""아이들"": ""3"", ""발달"": ""2"", ""바탕"": ""2"", ""케이트 베이커"": ""2"", ""시간"": ""2"", ""라임"": ""2"", ""전문가"": ""2"", ""일반"": ""2"", ""Elizabeth Wolf"": ""2"", ""아동"": ""2"", ""Harcourt Brace"": ""2"", ""교육학"": ""1"", ""반복"": ""1"", ""Hickory"": ""1"", ""배우"": ""1"", ""분류"": ""1"", ""분야"": ""1"", ""사물"": ""1"", ""사회학"": ""1"", ""생쥐"": ""1"", ""성공"": ""1"", ""소개"": ""1"", ""소절"": ""1"", ""수업"": ""1"", ""스토리"": ""1"", ""문진영어동화"": ""1"", ""MLL"": ""1"", ""나이"": ""1"", ""과정"": ""1"", ""흥미"": ""1"", ""그림책"": ""1"", ""끝소리"": ""1"", ""고려"": ""1"", ""년간"": ""1"", ""단계"": ""1"", ""단계별로"": ""1"", ""단어"": ""1"", ""대담"": ""1"", ""경험"": ""1"", ""동화"": ""1"", ""등장"": ""1"", ""two-flew"": ""1"", ""리드미컬"": ""1"", ""마더구스"": ""1""}"
9791191583403,화가 호로록 풀리는 책,글: 신혜영 ;그림: 김진화,철학 > 심리학 > 각론,2021,아주 쉽고 재미있게 화를 푸는 다양한 방법을 알려 주는 그림책이다. 첫 장면부터 화가 잔뜩 난 아이를 마주하게 된다. 하지만 화가 난 이유를 묻지 않는다. 우선 아이가 화가 났다는 것을 공감하면서 시작한다. 그러면서 화를 푸는 다양한 방법을 하나씩 알려 준다.,https://image.aladin.co.kr/product/27055/5/cover/k242731489_1.jpg,"{""화가"": ""12"", ""방법"": ""9"", ""감정"": ""5"", ""자신"": ""4"", ""그림책"": ""4"", ""아이"": ""4"", ""화가 호로록 풀리는 책"": ""3"", ""다양"": ""3"", ""어른"": ""3"", ""아주"": ""3"", ""풀리"": ""3"", ""신혜영"": ""2"", ""위즈덤하우스"": ""2"", ""생각"": ""2"", ""한국 그림책"": ""2"", ""행동"": ""2"", ""매일매일"": ""2"", ""김진화"": ""2"", ""누구"": ""2"", ""친구랑만"": ""1"", ""어린이"": ""1"", ""얼마"": ""1"", ""열심"": ""1"", ""친구"": ""1"", ""창작"": ""1"", ""즉각적"": ""1"", ""음식"": ""1"", ""음악"": ""1"", ""이유"": ""1"", ""장면"": ""1"", ""위로"": ""1"", ""이해"": ""1"", ""타임아웃"": ""1"", ""부정적"": ""1"", ""긍정적"": ""1"", ""당연"": ""1"", ""당황"": ""1"", ""대부분"": ""1"", ""대체"": ""1"", ""동생"": ""1"", ""마법"": ""1"", ""불쾌"": ""1"", ""블록"": ""1"", ""사람"": ""1"", ""소리"": ""1"", ""순간"": ""1"", ""스콜라"": ""1"", ""시작"": ""1"", ""신호"": ""1"", ""실행"": ""1""}"
9791197060205,신나게 걸어봐 인생은 멋진 거니까 :19살 단돈 50유로로 떠난 4년 6개월간의 여행이 알려준 것,크리스토퍼 샤흐트 지음 ;최린 옮김,역사 > 지리 > 지리,2020,"체 게바라는 여행에 대해 이렇게 말했다. '찢어진 주머니에 두 손을 내리꽂은 채 그저 떠나는 것만으로도 좋은 것이다'라고. &lt;신나게 걸어봐 인생은 멋진 거니까&gt;는 가진 것도, 거창한 계획도 없지만 맨몸으로 세상과 부딪히며 겪어낸 젊은 지구인의 매력적인 여행 이야기다.",https://image.aladin.co.kr/product/24208/86/cover/k762630066_1.jpg,"{""여행"": ""12"", ""50유로"": ""5"", ""단돈"": ""4"", ""세계"": ""4"", ""계획"": ""4"", ""소도시"": ""3"", ""독일"": ""3"", ""세상"": ""3"", ""인생"": ""3"", ""계획 없는"": ""3"", ""사람"": ""3"", ""6개월"": ""3"", ""샤흐트"": ""3"", ""홀슈타인"": ""3"", ""45개국"": ""3"", ""4년"": ""3"", ""크리스토퍼"": ""3"", ""마주"": ""2"", ""정복"": ""2"", ""와이즈맵"": ""2"", ""매력적"": ""2"", ""맨몸"": ""2"", ""무작정"": ""2"", ""자신"": ""2"", ""한국"": ""2"", ""최린"": ""2"", ""북부"": ""2"", ""상징"": ""2"", ""쿠바"": ""2"", ""순간"": ""2"", ""시간"": ""2"", ""청춘"": ""2"", ""이유"": ""2"", ""거창"": ""2"", ""외국에세이"": ""2"", ""게바라"": ""2"", ""크리스토퍼 샤흐트"": ""2"", ""혁명가"": ""2"", ""나라"": ""2"", ""여행길"": ""2"", ""황홀"": ""1"", ""섬들"": ""1"", ""선택"": ""1"", ""독자"": ""1"", ""남태평양"": ""1"", ""대서양"": ""1"", ""christopherschacht"": ""1"", ""감동"": ""1"", ""강연"": ""1"", ""남아메리카"": ""1""}"
9788949114019,지구에 온 너에게,소피 블랙올 글·그림 ;정회성 옮김,문학 > 영미문학 > 소설,2020,칼데콧상 2회 수상 작가 소피 블랙올이5년에 걸쳐 만든 아름다운 지구 안내서“『지구에 온 너에게』는 내가 열정을 가장 많이 쏟아 만든 그림책이다.” - 소피 블랙올★★★“『지구에 온 너에게』는 소피 블랙올의 작품 중 최고다.” - 《뉴욕 타임스》“눈부시다! 이 행성의 모두와 나눌 만한 책.”...,https://image.aladin.co.kr/product/25612/16/cover/8949114011_1.jpg,"{""지구에 온 너에게"": ""18"", ""소피"": ""8"", ""지구"": ""7"", ""그림책"": ""7"", ""루비의 소원"": ""6"", ""위니를 찾아서"": ""6"", ""안녕 나의 등대"": ""6"", ""수상"": ""5"", ""친구"": ""5"", ""칼데콧상"": ""5"", ""비룡소"": ""4"", ""1984"": ""3"", ""침대"": ""3"", ""에덴의 동쪽"": ""3"", ""블랙올"": ""3"", ""열정"": ""3"", ""뻐꾸기 둥지 위로 날아간 새"": ""3"", ""작은 영웅 이크발 마시"": ""3"", ""소개"": ""3"", ""책 읽어 주는 로봇"": ""3"", ""줄무늬 파자마를 입은 소년"": ""3"", ""로빈 후드의 모험"": ""3"", ""런던  NW"": ""3"", ""휴먼 코미디"": ""3"", ""피그맨"": ""3"", ""온 뷰티"": ""3"", ""2회"": ""3"", ""5년에"": ""3"", ""첫 사랑의 이름"": ""3"", ""아이"": ""2"", ""사려"": ""2"", ""정회성"": ""2"", ""주목"": ""2"", ""만들어진"": ""2"", ""2019년"": ""2"", ""2016년"": ""2"", ""소피 블랙올"": ""2"", ""우주"": ""2"", ""외계인"": ""2"", ""등대"": ""2"", ""명성"": ""2"", ""에즈"": ""2"", ""최고"": ""2"", ""구상"": ""2"", ""미국"": ""2"", ""번역"": ""2"", ""언론"": ""2"", ""찬사"": ""2"", ""블랙올은"": ""2"", ""고백"": ""2""}"
9788962476514,(에디슨이 포드에게 알려 준) 발명가의 비밀,수잔 슬레이드 글 ;이충호 옮김,기술과학 > 기술과학 > 연구법 및 교육지도법,2015,"스콜라 똑똑한 그림책 시리즈 8권. 도대체 에디슨이 게속 발명에 성공할 수 있는 비밀이 뭘까? 에디슨이 가진 발명가의 ‘비밀’을 알게 되면, 포드도 발명품을 개발하는 데 성공할 수 있을까? 세상을 바꾼 호기심 많은 두 소년 에디슨과 포드, 그리고 발명가의 ‘비밀’에 대해 알아본다.",http://image.aladin.co.kr/product/6953/46/cover/8962476517_1.jpg,"{""에디슨"": ""10"", ""포드"": ""10"", ""발명품"": ""5"", ""비밀"": ""5"", ""성공"": ""5"", ""자동차"": ""4"", ""세상"": ""3"", ""우주 비행사 애니"": ""3"", ""수전"": ""2"", ""달리"": ""2"", ""캐서린"": ""2"", ""실패"": ""2"", ""위즈덤하우스"": ""2"", ""호기심"": ""2"", ""발명"": ""2"", ""기관"": ""2"", ""발명가"": ""2"", ""이충호"": ""2"", ""수잔 슬레이드"": ""2"", ""과학 일반"": ""2"", ""소년"": ""2"", ""상품"": ""1"", ""시리즈"": ""1"", ""도로"": ""1"", ""소개"": ""1"", ""사람"": ""1"", ""수상"": ""1"", ""변화"": ""1"", ""비행기"": ""1"", ""소리"": ""1"", ""스콜라"": ""1"", ""반면"": ""1"", ""국제우주정거장"": ""1"", ""관심"": ""1"", ""과학자"": ""1"", ""공학"": ""1"", ""홈페이지"": ""1"", ""개발"": ""1"", ""가지"": ""1"", ""suzanneslade"": ""1"", ""궁금"": ""1"", ""녹음"": ""1"", ""미국"": ""1"", ""뭘까"": ""1"", ""맥클레인"": ""1"", ""리버티빌"": ""1"", ""똑똑"": ""1"", ""동시"": ""1"", ""도움"": ""1"", ""도서관"": ""1""}"
9791191439267,알면 똑똑해지리 :평생 딱 한 번 읽는 지리책,"박동한,이윤지 지음",역사 > 지리 > 지리,2022,"서울대학교 류재명 명예교수 강력추천!초·중·고 사회·지리 교과 과정의 핵심이 이 책 한 권으로 완벽하게!초등 3학년 사회 교과에서 고등 세계지리에 이르기까지, 사회·지리 과목 9년의 교과과정을 완벽하게 관통하는 ‘평생 딱 한 번만 읽으면 되는’ 지리책. 교과서 집필진인 박동한 교사와 EBS 중학 사회와 고등 지리의 대표 강사인 이윤지 교사가 집필한 도서로, 모든 사회 교과의 기본이 되는 지리 정보를 초등 고학년에서 중학생에 이르기까지 지리 교과에 큰 시간을 들이기 어려운 학생들의 눈높이에 맞게 흥미롭게 설명했다.",https://shopping-phinf.pstatic.net/main_3621614/36216142635.20221201102857.jpg,"{""영토"": ""9"", ""나라"": ""8"", ""인간"": ""7"", ""우리나라"": ""6"", ""지도"": ""6"", ""대한민국"": ""6"", ""사회"": ""5"", ""이유"": ""5"", ""지리책"": ""5"", ""생활상"": ""5"", ""교과"": ""5"", ""세계"": ""5"", ""시간"": ""5"", ""유럽"": ""5"", ""지구"": ""4"", ""교과서"": ""4"", ""아시아"": ""4"", ""초등"": ""4"", ""아프리카"": ""4"", ""남극"": ""4"", ""남아메리카"": ""4"", ""다양"": ""4"", ""우주"": ""4"", ""위치"": ""4"", ""북아메리카"": ""3"", ""세계시민과 지리"": ""3"", ""교사"": ""3"", ""뭐예"": ""3"", ""알면 똑똑해지리"": ""3"", ""기후"": ""3"", ""멀리깊이"": ""3"", ""오세아니아"": ""3"", ""변화"": ""3"", ""선생님 또 어디 가요"": ""3"", ""지형"": ""3"", ""평생"": ""3"", ""지리적"": ""3"", ""식량"": ""2"", ""발달"": ""2"", ""사람"": ""2"", ""10대"": ""2"", ""식생"": ""2"", ""결정"": ""2"", ""관계적"": ""2"", ""북극"": ""2"", ""고등학교"": ""2"", ""고학년"": ""2"", ""공전"": ""2"", ""과목"": ""2"", ""수리적"": ""2""}"
9791171170821,(이진우 기자의) 몬말리는 경제 모험 :어린이를 위한 사회탐구 프로젝트,"글: 글몬,그림: 지문",사회과학 > 경제학 > 경제학,2023,,https://image.aladin.co.kr/product/32489/62/cover/k142935502_1.jpg,"{""경제"": ""13"", ""인간"": ""6"", ""어린이"": ""4"", ""골드시티"": ""4"", ""gt"": ""4"", ""우리는 다양해생물"": ""3"", ""우리 아빠가 어때서"": ""3"", ""세상"": ""3"", ""이해"": ""3"", ""세계"": ""3"", ""그린"": ""2"", ""다양"": ""2"", ""이진우  기획"": ""2"", ""지문"": ""2"", ""골드"": ""2"", ""독자"": ""2"", ""그림"": ""2"", ""정치 경제 법"": ""2"", ""아이들"": ""2"", ""생각"": ""2"", ""아울북"": ""2"", ""리포트"": ""2"", ""감각"": ""2"", ""메뉴"": ""1"", ""만남"": ""1"", ""레시피"": ""1"", ""회원"": ""1"", ""대학"": ""1"", ""도착"": ""1"", ""메타버스"": ""1"", ""등장인물"": ""1"", ""동화"": ""1"", ""돌이"": ""1"", ""만족"": ""1"", ""경제적"": ""1"", ""5화"": ""1"", ""6화"": ""1"", ""lt인이"": ""1"", ""lt제"": ""1"", ""강남구립도서관"": ""1"", ""개념"": ""1"", ""거대"": ""1"", ""경제학"": ""1"", ""경제활동"": ""1"", ""공부"": ""1"", ""공이"": ""1"", ""관심"": ""1"", ""교환"": ""1"", ""구성"": ""1"", ""그래프투성이"": ""1""}"
9788954424158,왜 로마 제국은 기독교를 박해했을까? :트라야누스 VS 이그나티우스,글: 정기문 ;그림: 이일선,"역사 > 역사 > 세계사, 세계문화사",2010,"역사공화국 세계사법정 시리즈 15권. 유대교와 크리스트교의 차이점, 크리스트교의 기원과 각 종교와 종파간의 주장에 대해 잘 설명해 주고 있어서 종교사를 이해하는 데 도움을 준다. 기존의 역사 도서나 교과서에서 이야기가 설명으로 전개되는 것과 달리 원고와 피고가 소송을 벌이는 ‘법정식’ 구성으로 극적 재미를 더한다.",http://image.aladin.co.kr/product/824/30/cover/s592532793_1.jpg,"{""역사"": ""28"", ""기독교"": ""24"", ""로마"": ""17"", ""교과서"": ""15"", ""제국"": ""8"", ""황제"": ""8"", ""종교"": ""7"", ""역사공화국"": ""6"", ""세계사법정"": ""5"", ""트라야누스"": ""5"", ""박해"": ""5"", ""한국사법정"": ""5"", ""이해"": ""5"", ""설명"": ""5"", ""세계사"": ""5"", ""청소년 역사"": ""4"", ""크리스트교"": ""4"", ""음식"": ""4"", ""독자"": ""4"", ""재판"": ""4"", ""고대 로마인의 생각과 힘"": ""3"", ""지식의 재발견"": ""3"", ""생산"": ""3"", ""인문정신의 역사"": ""3"", ""달리"": ""3"", ""피고"": ""3"", ""청소년의 역사 1"": ""3"", ""한국인을 위한 서양사"": ""3"", ""성인 숭배"": ""3"", ""아우구스티누스"": ""3"", ""역사학자 정기문의 식사"": ""3"", ""물질문명과 자본주의"": ""3"", ""역사란 무엇인가"": ""3"", ""내용"": ""3"", ""내 딸들을 위한 여성사"": ""3"", ""벌이"": ""3"", ""구성"": ""3"", ""숭배"": ""3"", ""역사보다 재미있는 것은 없다"": ""3"", ""그리스도교의 탄생"": ""3"", ""연구"": ""3"", ""휴정인터뷰"": ""3"", ""원고"": ""3"", ""극적"": ""2"", ""기존"": ""2"", ""기원"": ""2"", ""관점"": ""2"", ""연구가"": ""2"", ""열망"": ""2"", ""과정"": ""2""}"
9788930238076,Why? 과학과 의학,글: 이근 ;그림: 극동만화연구소,역사 > 아시아(아세아) > 한국,2019,우리 과학과 의학 기술의 놀라운 비밀을 밝혀라!《Why? 한국사》는 초등 교과서를 비롯한 중?고등학교 교과서에서 핵심 역사 지식을 가려 뽑아 어린이가 좋아하는 만화 속에 자연스럽게 녹여 넣었습니다. 틀에 박힌 설명 대신 모험 스토리로 구성하여 읽다 보면 자연스레 역사 현장에 뛰어든 듯한 상상에 빠져...,https://bookthumb-phinf.pstatic.net/cover/153/697/15369721.jpg?type=m1&udate=20190828,"{""검색"": ""34"", ""조선"": ""14"", ""금속"": ""12"", ""의학"": ""10"", ""화약"": ""8"", ""기술"": ""8"", ""명의"": ""8"", ""발전"": ""8"", ""첨성대"": ""8"", ""천재"": ""6"", ""비밀"": ""4"", ""사랑"": ""4"", ""사람"": ""4"", ""역사상식7"": ""4"", ""세계"": ""4"", ""세종"": ""4"", ""역사상식6"": ""4"", ""역사상식5"": ""4"", ""역사상식4"": ""4"", ""역사상식3"": ""4"", ""역사상식1"": ""4"", ""역사"": ""4"", ""허준"": ""4"", ""역사상식2"": ""4"", ""발명왕"": ""4"", ""과학"": ""4"", ""기록"": ""4"", ""제조"": ""4"", ""공예품"": ""4"", ""유산"": ""4"", ""공예"": ""4"", ""활자"": ""4"", ""장영실"": ""4"", ""유네스코"": ""4"", ""진실"": ""4"", ""천하제일"": ""4"", ""최고"": ""4"", ""한국신화"": ""3"", ""태극기 휘날리며"": ""3"", ""삼국지 한자 교과서"": ""3"", ""한국설화"": ""3"", ""예림당"": ""3"", ""한자성의 보물을 찾아라"": ""3"", ""정약용"": ""2"", ""후기"": ""2"", ""발달"": ""2"", ""극동만화연구소"": ""2"", ""부록"": ""2"", ""병원"": ""2"", ""문제"": ""2""}"
9791139701777,니코마코스 윤리학 :그리스어 원전 완역본,아리스토텔레스 [지음] ;박문재 옮김,철학 > 서양철학 > 서양철학,2022,"현대지성 클래식 42권. 인간의 행복은 어디에서 오고, 어떻게 가능하며, 유지되고 발전하는가를 아리스토텔레스가 스스로 이해하고 강의하기 위해 정리한 글이다.",https://image.aladin.co.kr/product/28864/34/cover/k052836202_1.jpg,"{""미덕"": ""34"", ""행복"": ""29"", ""아리스토텔레스"": ""25"", ""사랑"": ""23"", ""정의"": ""17"", ""인간"": ""16"", ""사람"": ""14"", ""니코마코스 윤리학"": ""12"", ""제2장"": ""12"", ""즐거움"": ""12"", ""제1장"": ""12"", ""제3장"": ""11"", ""제5장"": ""11"", ""제8장"": ""11"", ""제4장"": ""11"", ""제9장"": ""11"", ""제6장"": ""11"", ""제7장"": ""11"", ""자제력"": ""10"", ""아테네"": ""9"", ""도덕적"": ""8"", ""제10장"": ""8"", ""제11장"": ""8"", ""BC"": ""7"", ""성품"": ""7"", ""제12장"": ""7"", ""지혜"": ""6"", ""실천적"": ""6"", ""종류"": ""6"", ""용기"": ""5"", ""통념"": ""5"", ""견해"": ""5"", ""활동"": ""5"", ""제13장"": ""5"", ""플라톤"": ""4"", ""무절제"": ""4"", ""문제"": ""4"", ""이성"": ""4"", ""좋음"": ""4"", ""정치학"": ""4"", ""정리"": ""4"", ""강의"": ""4"", ""추구"": ""4"", ""제자"": ""4"", ""지적"": ""4"", ""대상"": ""4"", ""중용"": ""4"", ""이해"": ""4"", ""아들"": ""4"", ""정치적"": ""3""}"
9791190488495,(재미있고 쓸모있는) 화학 이야기,이광렬 지음,자연과학 > 화학 > 화학,2023,"네이버 프리미엄 콘텐츠 ‘모두를 위한 화학’에는 일상생활에서 만나는 수많은 화학 현상이 쉽고 재미있게 설명되어 있다. 저자는 어려운 화학을 과알못도 이해할 수 있는 수준으로 쉽게 풀어 설명하며, 유머를 더해 써내려간다.",https://image.aladin.co.kr/product/33029/74/cover/k262937177_1.jpg,"{""화학"": ""30"", ""이유"": ""14"", ""비만"": ""9"", ""광팔도사"": ""8"", ""방법"": ""8"", ""Q A"": ""7"", ""여성"": ""7"", ""아이"": ""7"", ""원리"": ""7"", ""남성호르몬"": ""6"", ""음식"": ""6"", ""사람"": ""6"", ""스트레스"": ""5"", ""식품"": ""5"", ""화학적"": ""5"", ""능력"": ""4"", ""콘텐츠"": ""4"", ""연구"": ""4"", ""갱년기"": ""4"", ""호르몬"": ""4"", ""설명"": ""4"", ""콜레스테롤"": ""4"", ""구연산"": ""3"", ""세상"": ""3"", ""생활"": ""3"", ""창문"": ""3"", ""모두를 위한 화학"": ""3"", ""나노소재 화학"": ""3"", ""안전"": ""3"", ""농도"": ""3"", ""네이버"": ""3"", ""구독자"": ""3"", ""교수"": ""3"", ""식초"": ""3"", ""이광렬"": ""3"", ""프리미엄"": ""3"", ""과일"": ""3"", ""지방"": ""3"", ""비타민"": ""3"", ""화학의 미스터리"": ""3"", ""생기"": ""3"", ""섭취"": ""3"", ""가지"": ""3"", ""복잡"": ""3"", ""배가"": ""3"", ""스테로이드"": ""3"", ""정보"": ""3"", ""GMO"": ""3"", ""분자"": ""3"", ""자녀"": ""3""}"
9791163635734,난 겁나지 않아!,에스텔 비용-스파뇰 글·그림 ;이경혜 옮김,문학 > 프랑스문학 > 소설,2022,꼬마뭉치 마음그림책 1권. 오늘은 포포가 혼자서 아침밥을 구하러 가는 날이다. 이날을 손꼽아 기다리던 포포는 모두가 잠들어 있는 아침 일찍부터 눈을 번쩍 떴다. 서둘러 나갈 준비를 하는 포포. 큰 바다로 ‘휙’ 뛰어들기 전 이리저리 주위를 살피는데….,https://image.aladin.co.kr/product/29638/3/cover/k482838471_1.jpg,"{""포포"": ""9"", ""주위"": ""4"", ""난 겁나지 않아"": ""3"", ""꼬마뭉치"": ""3"", ""그림책"": ""3"", ""아침밥"": ""3"", ""구하러"": ""3"", ""시리즈"": ""3"", ""마음그림책"": ""3"", ""물고기"": ""2"", ""무사"": ""2"", ""바다"": ""2"", ""에스텔 비용-스파뇰"": ""2"", ""불안해"": ""2"", ""아침"": ""2"", ""세상"": ""2"", ""아이들"": ""2"", ""아기"": ""2"", ""준비"": ""2"", ""오늘"": ""2"", ""마음"": ""2"", ""유럽"": ""2"", ""혼자"": ""2"", ""꼼꼼"": ""2"", ""자신"": ""2"", ""시작"": ""2"", ""이경혜"": ""2"", ""동아엠앤비"": ""2"", ""자라"": ""1"", ""에스텔"": ""1"", ""재치"": ""1"", ""여행"": ""1"", ""전공"": ""1"", ""그림"": ""1"", ""어린이"": ""1"", ""소통"": ""1"", ""경찰"": ""1"", ""나이"": ""1"", ""낮설기만"": ""1"", ""대모험"": ""1"", ""대학"": ""1"", ""홀로"": ""1"", ""먹이"": ""1"", ""바닷속"": ""1"", ""법학"": ""1"", ""불문"": ""1"", ""비용-스파뇰"": ""1"", ""사랑"": ""1"", ""생각"": ""1"", ""소중"": ""1""}"
9791160401974,아침의 피아노 :철학자 김진영의 애도 일기,지은이: 김진영,"문학 > 한국문학 > 일기, 서간, 기행",2018,"미학자이자 철학자이며, 철학아카데미 대표였던 김진영의 첫 산문집이자 유고집이다. 임종 3일 전 섬망이 오기 직전까지 병상에 앉아 메모장에 썼던 2017년 7월부터 2018년 8월까지의 일기 234편을 담았다.",https://image.aladin.co.kr/product/17007/52/cover/k302534575_1.jpg,"{""선생"": ""22"", ""아침의 피아노"": ""21"", ""마음"": ""11"", ""문장"": ""8"", ""철학아카데미"": ""7"", ""사유"": ""6"", ""처음 읽는 프랑스 현대철학"": ""6"", ""자신"": ""6"", ""음악"": ""6"", ""한겨레"": ""6"", ""김진영"": ""6"", ""강의"": ""6"", ""애도 일기"": ""6"", ""인간"": ""6"", ""타자"": ""6"", ""세상"": ""6"", ""피아노"": ""5"", ""아포리즘"": ""5"", ""일기"": ""5"", ""발견"": ""5"", ""철학"": ""5"", ""2018년"": ""5"", ""공부"": ""4"", ""글들"": ""4"", ""교양"": ""4"", ""환자"": ""4"", ""기록"": ""4"", ""시선"": ""4"", ""7월"": ""4"", ""미학"": ""4"", ""8월"": ""3"", ""이들"": ""3"", ""사랑"": ""3"", ""철학자"": ""3"", ""정신"": ""3"", ""시작"": ""3"", ""2017년"": ""3"", ""프루스트"": ""3"", ""악보"": ""3"", ""사람"": ""3"", ""선고"": ""3"", ""현대시학"": ""3"", ""제자"": ""3"", ""산문집"": ""3"", ""모임"": ""3"", ""감사"": ""3"", ""마찬가지"": ""3"", ""마지막"": ""3"", ""유고집"": ""3"", ""노학자"": ""3""}"
